"Item That May Need Fixing on the Page","Why This Is Important","How to Fix","Required or Optional","Fixed State","How to Fix Details"
"Accordions may not be using the updated design.","Ensures all accordions look and function the same across sites","Replace accordions with provided code snippet for consistency; https://snippets.usnsandbox.net/","Required","Accordions set correctly",
"Branding and theme may appear inconsistent across pages.","Ensures user trust and professional appearance","Apply consistent theme and branding elements. Adhere to TSA Brand Standards. (See QA issue link for branding guide link.)","Required","Branding/theme consistent","Apply consistent theme and branding elements. Adhere to TSA Brand Standards. https://sauss.sharepoint.com/sites/ConnectCommunications/SitePages/Web-and-Social-Media.aspx"
"Buttons may not have the correct color or the updated design.","Provides a uniform look and correct accessibility features","Replace buttons or change color based on guidance on button snippet; https://snippets.usnsandbox.net/","Required","Buttons set correctly",
"Cards may not be using the updated design.","Maintains consistent card design and responsiveness","Update cards with standardized code snippet; https://snippets.usnsandbox.net/","Required","Cards set correctly",
"Content may be too long or complex.","Clear, concise content improves readability, helps visitors quickly find the information they need, and makes the page more engaging.","Review the page and remove unnecessary details, jargon, or repetitive text. Highlight only the key points that matter most for your audience. Use accordion, short paragraphs, headings, and bullet points where possible to improve scannability.","Required","Content is simplified and highlights key points",
"Content may duplicate an existing page in the menu.","Avoids confusion for visitors and keeps site navigation clear.","Before publishing, check navigation for existing pages covering the same content. If duplication exists, merge content or adjust menu settings.","Required","No duplicate pages in menu",
"CTA buttons or links may not clearly state the action.","Clear CTAs guide people to take action. Confusing or generic CTAs reduce engagement.","Rewrite button text so it clearly says what will happen, e.g., 'Donate Now' instead of 'Click Here.' Place CTAs in logical spots on the page.","Required","CTA buttons and links are clear",
"Embedded forms, maps, or videos may not be functioning as expected.","Visitors expect forms, maps, and videos to work smoothly. Broken elements block engagement and reduce trust.","Test all embedded content directly on the page. If something does not load or function, update the embed code or replace it.","Required","All embedded items function correctly",
"Grey boxes may not be using the updated design.","Keeps visual style aligned with approved design","Use the grey box snippet; https://snippets.usnsandbox.net/","Required","Grey boxes set correctly",
"Grids may not be using the updated design.","Prevents layout issues and ensures responsive design","Use the grid code snippet; https://snippets.usnsandbox.net/","Required","Grids set correctly",
"Hero section may be missing a clear CTA button (where appropriate).","CTAs guide visitors to the next step. Without them, people may leave the page without engaging further.","Ensure primary + secondary CTAs appear above the fold. Skip if informational or menu redirect.","Optional","Hero section has CTA buttons where applicable","Add a button in the hero area that clearly directs visitors to take action, such as “Get Help” or “Donate.” Ensure primary + secondary CTAs appear above the fold. Skip if informational or menu redirect."
"Home page “Contact Us” footer image may be missing","A localized footer image makes the Contact Us section more inviting and recognizable. It visually guides visitors to the right spot for reaching out and reinforces the overall design of the page.","Set the footer Contact Us image on the location's home page by uploading a beautiful, high quality, locally relevant photo that will show on all pages.","Required","Localized high-quality image set and tested on mobile devices.",
"Home page hero slides may be missing or the image may be low-quality.","The hero is the first thing visitors see; low-quality or missing messages or images reduce credibility and impact.","Migrate relevant Theater Slides from Symphony Home Pages. Use beautiful relevant images where the subject will not be cut off on mobile devices. Refrain from using logo lockups or graphic that may be cut off or covered by the text or buttons.","Required","Hero image is high-quality and set","New Website Photo Dimensions available here: https://sauss.sharepoint.com/sites/ConnectCommunications/SitePages/Zesty%20Migration%20Information.aspx#new-website-photo-dimensions"
"Home page pinned cards (primary & secondary featured cards) may not be set or fully configured","Curated featured cards keep content fresh and compelling, providing more messages above the fold in visually engaging experience that encourages clicks and deeper exploration.","Set primary & secondary pinned cards with hero/SEO image, meta description, and CTA text. In the location’s home page settings, set both Primary and Secondary Featured Cards. Choose any story, event, or info page as the source.","Required","Primary & secondary pinned cards fully configured","Confirm each source page has an appropriate Hero or SEO Meta Image and a Meta Description (used for the card image an"
"Home page social network links may be missing","People who care about our mission often look for quick ways to follow and share updates so they can stay involved, show support, and spread the word. Accurate social links make it effortless for visitors to connect and receive timely updates.","Open the home page for the location and set each of the social network URLs, as available. Test each link to ensure it leads to a social network profile that has been recently updated and is owned by The Salvation Army.","Required (if applicable)","Valid and recently updated social links are set on homepage","Check that social network links are set on the homepage. If not, they will cascade from division or national defaults."
