Territory,Division,GDOS_ID,Name,Address,Phone,Zip,Duplicate,DoNotImport,Reason
USC,Metropolitan,402818763d5b8722013d5c53edf21734,Irving Park Corps Community Center,,,,False,True,Marked do not import
USC,Wisconsin & Upper Michigan,402818763d5b8722013d5bdd7bcf0f0c,Dane County Community Center/Administration Building,,,,True,True,Marked as duplicate location
USE,Massachusetts,402818763d5b8722013d5b93693a0348,Lynn Citadel,,,,True,True,Marked as duplicate location
USE,Massachusetts,402818763d5b8722013d5bfdc486121e,Haverhill,,,,True,True,Marked as duplicate location
USE,Massachusetts,8a6907e4468529880148b34325fe0101,Children's Learning Center,,,,True,True,Marked as duplicate location
USE,Massachusetts,8a748d893e56351e013ecca921e50029,Boston Central,,,,True,True,Marked as duplicate location
USE,Northeast Ohio,402818763d5b8722013d5c9b0a251aca,Newark Corps,,,,True,True,Marked as duplicate location
USE,Adult Rehabilitation Centers Command (USE),8a82808f864f3ed1018654a0f39f0006,Rochester Area Services,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a8280c07ac3a1cf017af1031d870376,HUB Warehouse,,,,False,True,Marked do not import
USE,Adult Rehabilitation Centers Command (USE),8a8281707c12ded8017cc5a93ad40020,Nahsua Corp.,,,,False,True,Marked do not import
USW,Adult Rehabilitation Centers Command,8a78d5473e314c1b013e373b2012007e,The Salvation Army Donation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a78d5473e314c1b013e373b66580090,Donation DropOff Location,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a78d5473e314c1b013e373b897c0099,The Salvation Army Donation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a78d5473e314c1b013e373c093600ba,The Salvation Army Family Thrift Store & Donation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a78d5473e314c1b013e373c691900d2,The Salvation Army Thrift Store & Donation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a78d5473e314c1b013e3746e82003e1,Salvation Army Donation Dropbox,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a78d5473e314c1b013e3747bf960426,The Salvation Army Thrift Store & Donation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a78d5473e314c1b013e374c434d0594,The Salvation Army Adult Rehabilitation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a78d5473e314c1b013e374c5576059a,The Salvation Army Donation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a78d5473e314c1b013e374c5e92059d,Salvation Army Donation Drop Off Location,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a8080886b996315016c2d0c5ca7009f,The Salvation Army Family Thrift Store & Donation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a808091616ab34f016440273a060152,Salvation Army Citadel,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a8081ae714a3e0101722bb0cc690038,The Salvation Army Thrift Store & Donation Center ,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a8081b26fec724d01700ef701300006,The Salvation Army Thrift Store & Donation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a82804a7ef961bb017f39df90770116,The Salvation Army Thrift Store & Donation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a8280c07ac3a1cf017aedbde6f702a8,The Salvation Army Adult Rehabilitation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a82814785eeac69018654adb52b0056,The Salvation Army Thrift Store & Donation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a82814785eeac69018654ade2760059,The Salvation Army Thrift Store & Donation Center,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a82814785eeac69018654adec11005c,The Salvation Army Thrift Store,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a8282238d59f7e2018d59f9bc910003,The Salvation Army Las Vegas Thrift Outlet ,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a8282b07ac3a1d1017aedbe57b60284,The Salvation Army Thrift Store & Donation Center - Permanently Closed,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a839ce6936327e80193b12f7cf9001d,Salvation Army Henderson Corp ,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8a83c1e793da4c820193e8d28bd80003,The Salvation Army Thrift Outlet ,,,,True,True,Marked as duplicate location
USW,Adult Rehabilitation Centers Command,8aa4c2194e6dc84d014f7d76b07a03c8,The Salvation Army Corps  - Donation Drop-Off,,,,True,True,Marked as duplicate location
USW,Alaska,8a8280d779381e7a0179f7ab329e0010,Echelon Anchorage,,,,False,True,Marked do not import
USW,Cascade,8aa4c2194e6dc84d014f04f37aec02bb,"Baker City, OR: Baker City Service Center",,,,True,True,Marked as duplicate location
USW,Cascade,8aa4c2194e6dc84d014f05097d3102d6,"Klamath Falls, OR: Klamath Falls Service Center",,,,True,True,Marked as duplicate location
USW,Cascade,8aa4c2194e6dc84d014f052adbb502f0,"La Grande, OR: La Grande Service Center",,,,True,True,Marked as duplicate location
USW,Del Oro,8a80800f559c116f0155e480329d013a,Sacramento CA: Northern California Metro,,,,True,True,Marked as duplicate location
USW,Del Oro,8a808375559c116c0155becd4850014e,"VALLEJO, CA: Vallejo Social Service Office",,,,True,True,Marked as duplicate location
USW,Del Oro,8a8281b579381eba0179f7d2420c0014,Echelon Sacramento,,,,False,True,Marked do not import
USW,Golden State,8a78d5473e314c1b013e37713335100e,"MODESTO (Corps), CA: Corps Community Center",,,,True,True,Marked as duplicate location
USW,Golden State,8aa4c2194e6dc84d014f050fb98d02df,"Mojave, CA: Eastern Kern",,,,True,True,Marked as duplicate location
USW,Golden State,8aa4c2194e6dc84d014f05349a0702fc,"Selma, CA: Selma Service Center",,,,True,True,Marked as duplicate location
USW,Hawaiian and Pacific Islands,8a8281b579381eba0179f7b2a6920011,Echelon Honolulu,,,,False,True,Marked do not import
USW,Hawaiian and Pacific Islands,8aa4c2194e6dc84d014f0509e1f902d9,"Koloa, HI: Koloa Outpost",,,,True,True,Marked as duplicate location
USW,Intermountain,8a80800f559c116f0155e4a42f33019d,Vail Service Extension,,,,True,True,Marked as duplicate location
USW,Intermountain,8a80801659992b450159f87b2177001e,"Service Extension Centers: Cortez, CO Service Center",,,,True,True,Marked as duplicate location
USW,Intermountain,8a8280d779381e7a0179f7afdb7b0013,5280 Echelon,,,,True,True,Marked as duplicate location
USW,Northwest,8a78d5473e314c1b013e373b9f97009f,Salvation Army Family Store,,,,True,True,Marked as duplicate location
USW,Northwest,8a78d5473e314c1b013e375f68d70b0d,"WASHOUGAL, WA: Corps Community Center",,,,True,True,Marked as duplicate location
USW,Northwest,8a80803c570b3ed10157d9733a950016,"Vancouver, WA: Clark County",,,,True,True,Marked as duplicate location
USW,Northwest,8a808375559c116c0155e2dc008c03b0,"MARYSVILLE, WA: Service Center",,,,True,True,Marked as duplicate location
USW,Northwest,8a8280d779381e7a0179f7d7186f001c,Echelon Seattle,,,,False,True,Marked do not import
USW,Southwest,8a78d5473e314c1b013e3758b6710939,Salvation Army Family Store,,,,True,True,Marked as duplicate location
USW,Southwest,8a78d5473e314c1b013e376b09d20e3d,"LAS VEGAS (Citadel), NV: Pathways & Isla",,,,True,True,Marked as duplicate location
USW,Southwest,8a808375559c116c0155bece8f39032e,"MESA, AZ: Apache Junction Service Center",,,,True,True,Marked as duplicate location
USW,Southwest,8a8280d779381e7a0179f7cf97490016,Echelon Southern Nevada,,,,False,True,Marked do not import
USW,Southwest,8aa4c2194e6dc84d014ec546f9280039,Wickenburg,,,,True,True,Marked as duplicate location
USW,Southwest,8aa4c2194e6dc84d014f04f5ac8102c1,"Bosque Farms, NM: Los Lunas",,,,True,True,Marked as duplicate location
USW,Southwest,8aa4c2194e6dc84d014f0534794402f9,"Sedona, AZ: Sedona Service Unit",,,,True,True,Marked as duplicate location
USW,Southwest,8aa4c2194e6dc84d014f05350e4c02ff,"Silver City, NM: Silver City Service Unit",,,,True,True,Marked as duplicate location
USW,Southwest,8aa4c2194e6dc84d014f053797510305,"TORC, NM: Truth or Consequences",,,,True,True,Marked as duplicate location
USW,Southwest,8aa4c2194e6dc84d014f053949f4030b,"Willcox, AZ: Willcox Service Unit",,,,True,True,Marked as duplicate location
