Legacy GDOS Category,Legacy GDOS Sub-Category,Final 2025 Category Name,GDOS Category ID,GDOS Sub-Category/Service ID,Zesty Service ZUID,Zesty Meta Name,Zesty Meta Title,Zesty Meta Description
Adult Program Services,Alcohol and Drug Treatment,Recovery,2,11,7-eca891929b-9tjsf8,Recovery,Recovery,Offering a variety of programs and support to individuals struggling with addiction.
Adult Program Services,Community Recreation Programs,Family Services,2,7,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Adult Program Services,Food & Nutrition Programs,Hunger,2,9,7-d8b296be86-jsdss4,Hunger,Hunger,Providing nutritious meals and groceries to families and individuals struggling to put food on the table.
Adult Program Services,Military Personnel Assistance,Adult Program Services,2,8,7-a6d2afc0c6-gwp3rg,Adult Program Services,Adult Program Services,Offering a range of programs and support to strengthen families and individuals.
Adult Program Services,Missing Persons,Miscellaneous,2,12,7-e8d4cb928d-3fdnfd,Miscellaneous,Miscellaneous,Offering a range of programs and support to strengthen families and individuals.
Adult Program Services,Rehabilitation,Recovery,2,10,7-eca891929b-9tjsf8,Recovery,Recovery,Offering a variety of programs and support to individuals struggling with addiction.
Adult Rehabilitation Centers,Adult Rehabilitation Center,Recovery,3,13,7-eca891929b-9tjsf8,Recovery,Recovery,Offering a variety of programs and support to individuals struggling with addiction.
Adult Rehabilitation Centers,Auction,Thrift Stores,3,16,7-f6cec5ecf8-fsg0z2,Thrift Stores,Thrift Stores,"Providing a convenient way for individuals to donate gently used clothing, household items, and other goods."
Adult Rehabilitation Centers,Drop Box,Donation Dropoff,3,14,7-dee1b1bc80-wxb00w,Donation Dropoff,Donation Dropoff,"Providing a convenient way for individuals to donate clothing, household items, and other goods."
Adult Rehabilitation Centers,Salvation Army Family Store,Thrift Stores,3,15,7-f6cec5ecf8-fsg0z2,Thrift Stores,Thrift Stores,"Providing a convenient way for individuals to donate gently used clothing, household items, and other goods."
Anti-Human Trafficking Services,Anti-Human Trafficking Services,Human Trafficking,18,80,7-beaf9889da-crq1nq,Human Trafficking,Human Trafficking,"Providing a wide range of social services, programs, and facilities to individuals and families in need."
Correctional Services,Aid to Families,Correctional Services,4,19,7-f0c8b694db-f7mc4w,Correctional Services,Correctional Services,"Offering spiritual, educational, and vocational programs to incarcerated individuals"
Correctional Services,Bible Study - Correspondence,Correctional Services,4,18,7-f0c8b694db-f7mc4w,Correctional Services,Correctional Services,"Offering spiritual, educational, and vocational programs to incarcerated individuals"
Correctional Services,Transitional Care & Work Release,Correctional Services,4,17,7-f0c8b694db-f7mc4w,Correctional Services,Correctional Services,"Offering spiritual, educational, and vocational programs to incarcerated individuals"
Disaster Services,Disaster Services,Disaster Relief,5,20,7-ecf48acfe1-c1qjwx,Disaster Relief,Disaster Relief,"Offering immediate and long-term wildfire, flood, tornado, and hurricane relief to communities affected by natural disasters."
Domestic Violence Services,Domestic Violence Services,Domestic Violence,6,21,7-86bf9ac8ee-jk3ccq,Domestic Violence,Domestic Violence,Offering a range of programs and support to strengthen families and individuals.
Donation Drop Off,Drop Box,Donation Dropoff,15,65,7-dee1b1bc80-wxb00w,Donation Dropoff,Donation Dropoff,"Providing a convenient way for individuals to donate clothing, household items, and other goods."
Emergency Assistance,Emergency Financial Assistance,Holiday Giving,7,22,7-c0eca1bef6-fr3vtq,Holiday Giving,Holiday Giving,Providing a variety of programs and initiatives to spread joy and hope during the holiday season.
Emergency Assistance,Emergency Financial Assistance,Utility Rent Assistance,7,22,7-c0a3f2d8bf-lz3kps,Utility Rent Assistance,Utility Rent Assistance,"Offering emergency assistance to keep families who are struggling to pay rent, mortgage, and utility bills in their homes."
Emergency Assistance,Emergency Shelter,Homelessness,7,24,7-f4949cf3fe-1x4kjk,Homelessness,Homeless Shelters,"Offering emergency or transitional shelters to provide a warm, secure place for men, women, and children experiencing homelessness."
Emergency Assistance,Food & Nutrition Programs,Hunger,7,23,7-d8b296be86-jsdss4,Hunger,Hunger,Providing nutritious meals and groceries to families and individuals struggling to put food on the table.
Emergency Assistance,Food & Nutrition Programs,Poverty,7,23,7-d492d7a594-470v8g,Poverty,Poverty,Offering a range of programs and services to support and strengthen families and individuals.
Emergency Assistance,Food Pantry,Hunger,7,64,7-d8b296be86-jsdss4,Hunger,Hunger,Providing nutritious meals and groceries to families and individuals struggling to put food on the table.
Emergency Assistance,Seasonal Services,Holiday Giving,7,25,7-c0eca1bef6-fr3vtq,Holiday Giving,Holiday Giving,Providing a variety of programs and initiatives to spread joy and hope during the holiday season.
Family Counseling Services,Casework Services,Family Services,8,27,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Family Counseling Services,Group Work Services,Family Services,8,26,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Family Counseling Services,Homemaker Services,Family Services,8,28,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Family Counseling Services,Pathway of Hope,Family Services,8,61,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Family Stores,Store,Thrift Stores,9,29,7-f6cec5ecf8-fsg0z2,Thrift Stores,Thrift Stores,"Providing a convenient way for individuals to donate gently used clothing, household items, and other goods."
Health Services,Clinics Services,Health Services,10,31,7-c2f6bbdf8f-qjd72x,Health Services,Health Services,Offering a variety of medical and health-related programs and resources to individuals and communities.
Health Services,Detoxification Services,Recovery,10,30,7-eca891929b-9tjsf8,Recovery,Recovery,Offering a variety of programs and support to individuals struggling with addiction.
Health Services,Maternity Services,Health Services,10,32,7-c2f6bbdf8f-qjd72x,Health Services,Health Services,Offering a variety of medical and health-related programs and resources to individuals and communities.
Housing/Residence Services,Emergency Shelter,Homelessness,11,33,7-f4949cf3fe-1x4kjk,Homelessness,Homeless Shelters,"Offering emergency or transitional shelters to provide a warm, secure place for men, women, and children experiencing homelessness."
Housing/Residence Services,Homeless Shelters,Family Services,11,33,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Housing/Residence Services,Homeless Shelters,Shelters,11,33,7-f4949cf3fe-1x4kjk,Homelessness,Homeless Shelters,"Offering emergency or transitional shelters to provide a warm, secure place for men, women, and children experiencing homelessness."
Housing/Residence Services,Men's Shelters,Shelters,11,33,7-f4949cf3fe-1x4kjk,Homelessness,Homeless Shelters,"Offering emergency or transitional shelters to provide a warm, secure place for men, women, and children experiencing homelessness."
Housing/Residence Services,Rental and Utility Assistance,Poverty,11,81,7-d492d7a594-470v8g,Poverty,Poverty,Offering a range of programs and services to support and strengthen families and individuals.
Housing/Residence Services,Rental and Utility Assistance,Utility Rent Assistance,11,81,7-c0a3f2d8bf-lz3kps,Utility Rent Assistance,Utility Rent Assistance,"Offering emergency assistance to keep families who are struggling to pay rent, mortgage, and utility bills in their homes."
Housing/Residence Services,Senior Citizens Residences,Senior Services,11,36,7-b6d4f0cba2-cc59st,Senior Services,Senior Services,Providing a variety of programs and support to older adults.
Housing/Residence Services,Transitional Housing,Homelessness,11,34,7-f4949cf3fe-1x4kjk,Homelessness,Homeless Shelters,"Offering emergency or transitional shelters to provide a warm, secure place for men, women, and children experiencing homelessness."
Housing/Residence Services,Women's Shelters,Shelters,11,33,7-f4949cf3fe-1x4kjk,Homelessness,Homeless Shelters,"Offering emergency or transitional shelters to provide a warm, secure place for men, women, and children experiencing homelessness."
Kroc Center,Arts,Kroc Center,17,74,7-849ce59cd1-81lkd3,Kroc Center,Kroc Center,"Providing a range of social services, programs, and facilities to individuals and families in need."
Kroc Center,Challenge Center,Kroc Center,17,76,7-849ce59cd1-81lkd3,Kroc Center,Kroc Center,"Providing a range of social services, programs, and facilities to individuals and families in need."
Kroc Center,Family Services,Kroc Center,17,75,7-849ce59cd1-81lkd3,Kroc Center,Kroc Center,"Providing a range of social services, programs, and facilities to individuals and families in need."
Kroc Center,Sports,Kroc Center,17,73,7-849ce59cd1-81lkd3,Kroc Center,Kroc Center,"Providing a range of social services, programs, and facilities to individuals and families in need."
Older Adult Services,Adult Day Care,Senior Services,12,38,7-b6d4f0cba2-cc59st,Senior Services,Senior Services,Providing a variety of programs and support to older adults.
Older Adult Services,Camping Activities,Senior Services,12,39,7-b6d4f0cba2-cc59st,Senior Services,Senior Services,Providing a variety of programs and support to older adults.
Older Adult Services,Nutrition Programs,Senior Services,12,42,7-b6d4f0cba2-cc59st,Senior Services,Senior Services,Providing a variety of programs and support to older adults.
Older Adult Services,Senior Citizen Clubs,Senior Services,12,41,7-b6d4f0cba2-cc59st,Senior Services,Senior Services,Providing a variety of programs and support to older adults.
Older Adult Services,Senior Citizens Residences,Senior Services,12,40,7-b6d4f0cba2-cc59st,Senior Services,Senior Services,Providing a variety of programs and support to older adults.
Older Adult Services,Visitation Services,Senior Services,12,37,7-b6d4f0cba2-cc59st,Senior Services,Senior Services,Providing a variety of programs and support to older adults.
Pathway of Hope,Case Management,Poverty,16,67,7-d492d7a594-470v8g,Poverty,Poverty,Offering a range of programs and services to support and strengthen families and individuals.
Pathway of Hope,Counseling,Family Services,16,66,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Pathway of Hope,Employment Assistance,Adult Program Services,16,69,7-a6d2afc0c6-gwp3rg,Adult Program Services,Adult Program Services,Offering a range of programs and support to strengthen families and individuals.
Pathway of Hope,Housing,Homelessness,16,71,7-f4949cf3fe-1x4kjk,Homelessness,Homeless Shelters,"Offering emergency or transitional shelters to provide a warm, secure place for men, women, and children experiencing homelessness."
Pathway of Hope,Life Skills Training,Adult Program Services,16,68,7-a6d2afc0c6-gwp3rg,Adult Program Services,Adult Program Services,Offering a range of programs and support to strengthen families and individuals.
Pathway of Hope,Material Assistance,Poverty,16,72,7-d492d7a594-470v8g,Poverty,Poverty,Offering a range of programs and services to support and strengthen families and individuals.
Pathway of Hope,Spiritual Services,Spiritual and Worship Services,16,70,7-b4dafdbfb4-c3mcs3,Spiritual and Worship Services,Worship and Spiritual Programs,Offering worship services and Christ-centered programs to all.
Worship Center,Christian Education,Spiritual and Worship Services,13,43,7-b4dafdbfb4-c3mcs3,Spiritual and Worship Services,Worship and Spiritual Programs,Offering worship services and Christ-centered programs to all.
Worship Center,Men's Ministries,Adult Program Services,13,51,7-a6d2afc0c6-gwp3rg,Adult Program Services,Adult Program Services,Offering a range of programs and support to strengthen families and individuals.
Worship Center,Music & Arts Programs,Family Services,13,49,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Worship Center,Women's Ministries,Adult Program Services,13,44,7-a6d2afc0c6-gwp3rg,Adult Program Services,Adult Program Services,Offering a range of programs and support to strengthen families and individuals.
Worship Center,Worship Services - Children's / Teen,Family Services,13,47,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Worship Center,Worship Services - Church,Spiritual and Worship Services,13,48,7-b4dafdbfb4-c3mcs3,Spiritual and Worship Services,Worship and Spiritual Programs,Offering worship services and Christ-centered programs to all.
Worship Center,Worship Services - Russian,Spiritual and Worship Services,13,63,7-b4dafdbfb4-c3mcs3,Spiritual and Worship Services,Worship and Spiritual Programs,Offering worship services and Christ-centered programs to all.
Worship Center,Worship Services - Spanish,Spiritual and Worship Services,13,62,7-b4dafdbfb4-c3mcs3,Spiritual and Worship Services,Worship and Spiritual Programs,Offering worship services and Christ-centered programs to all.
Worship Center,Worship Services - Sunday School,Spiritual and Worship Services,13,45,7-b4dafdbfb4-c3mcs3,Spiritual and Worship Services,Worship and Spiritual Programs,Offering worship services and Christ-centered programs to all.
Worship Center,Worship Services - Young Adult,Youth Services,13,50,7-f08698fe87-3brfzr,Youth Services,Youth Services,Offering a variety of programs and activities designed to promote the development of young people.
Worship Center,Worship Services - Youth Ministries,Youth Services,13,46,7-f08698fe87-3brfzr,Youth Services,Youth Services,Offering a variety of programs and activities designed to promote the development of young people.
Youth Services,Boys' & Girls' Club,Family Services,14,56,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Youth Services,Boys' & Girls' Club,Youth Services,14,56,7-f08698fe87-3brfzr,Youth Services,Youth Services,Offering a variety of programs and activities designed to promote the development of young people.
Youth Services,Character Building Programs,Youth Services,14,59,7-f08698fe87-3brfzr,Youth Services,Youth Services,Offering a variety of programs and activities designed to promote the development of young people.
Youth Services,Day Camp Activities,Family Services,14,59,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Youth Services,Day Care,Family Services,14,55,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Youth Services,Foster Care,Family Services,14,54,7-d096fea2e8-6n88qt,Family Services,Family Services,Offering a range of programs and support to strengthen families and individuals.
Youth Services,Foster Care,Youth Services,14,54,7-f08698fe87-3brfzr,Youth Services,Youth Services,Offering a variety of programs and activities designed to promote the development of young people.
Youth Services,Group Homes,Youth Services,14,58,7-f08698fe87-3brfzr,Youth Services,Youth Services,Offering a variety of programs and activities designed to promote the development of young people.
Youth Services,Latchkey Programs,Youth Services,14,53,7-f08698fe87-3brfzr,Youth Services,Youth Services,Offering a variety of programs and activities designed to promote the development of young people.
Youth Services,Residential Camping Activities,Youth Services,14,57,7-f08698fe87-3brfzr,Youth Services,Youth Services,Offering a variety of programs and activities designed to promote the development of young people.
