zuid,url,address,city,contact_us_cta_header,contact_us_image,contact_us_page_link,contact_us_title,division_code,facebook_url_link,feature_article,gdos_id,instagram_url_link,linkedin_url_link,map_excerpt_description,map_excerpt_subtext,matrix_stats,name,og_image,primary_card,primary_card_cta_text,secondary_card,secondary_cta_text,services_title,should_redirect,site_name,state,symphony_site_id,territory,twitter_url_link,youtube_url_link,zipcode
7-f2c594f79a-v49ftr,/usa-western-territory/northwest/,111 Queen Anne Avenue N.,7-dac2f1a884-3qmzvm,,3-132bdd97-tnrt82,7-b8e58ba8ce-5wtc0k,,NW,https://www.facebook.com/TSANWDivision/,,8a80800f559c116f0155e0cf16fa00fe,https://www.instagram.com/salvationarmynorthwest/,https://www.linkedin.com/company/the-salvation-army-northwest-division,<p>Learn about the recent media stories and events from across the Northwest.</p>,"Meeting Needs in the Washington State, Northern Idaho and Western Montana",,Northwest Division,,7-9e82849eaf-7wnlsj,Learn More,7-a682ebdcc2-gls1hj,Volunteer Opportunities,Our Services,0,,7-bce9f2e4a5-gwq95t,,7-dcb3daeee7-3l9t49,https://x.com/SalvationArmyNW,https://www.youtube.com/@thesalvationarmynorthwestd5841,98109
7-9cd2c1f7a4-cx850b,/usa-western-territory/southwest/,2707 East Van Buren Street,7-c486c4eedb-db49qx,,3-13402a39-ckgp1g,7-9cd2c1f7a4-cx850b,,SW,https://www.facebook.com/SalvationArmySW,,8a80800f559c116f0155e09e90b700dd,https://www.instagram.com/salarmysw/,https://www.linkedin.com/company/salvationarmysw,"<p class=""p1"">For the most up-to-date information on services in your area, including registrations for seasonal assistance, please contact your local Salvation Army using the location finder below. Please enter a zip code to find your nearest location.</p>","Meeting Needs in Arizona, New Mexico, and Southern Nevada",,Southwest,,7-ea948bde8a-vc6r9v,Learn More,7-86da8baae3-4h2tqf,Learn More,Our Services,0,,7-c89c8d82c8-pk894p,,7-dcb3daeee7-3l9t49,,https://www.youtube.com/@salvationarmysw/featured,85008
7-d4ebbcf3b4-lwqwp2,/usa-southern-territory/georgia/,"1000 Center Place, NW",7-f887a4d8ee-xqkpqf,,3-130ae17d-hzpp22,,Get Connected,GEO,https://www.facebook.com/thesalvationarmygeorgia,,8a838b4190da922e01919db9268c03e8,https://www.instagram.com/salvationarmyus,https://www.linkedin.com/company/the-salvation-army-georgia-division/,"<p>Find the care and support you’re looking for—whether it’s spiritual encouragement, practical help, or a community ready to welcome you. We’re here to help meet both immediate needs and provide hope for the future. Use our locator to connect with a center near you offering resources to uplift and assist. Hope is closer than you think—start your search today!</p>
<p>Looking for assistance or an opportunity to make a difference? Our local centers and churches offer a variety of services to support individuals and families in need.</p>
<p>Enter your city or ZIP code to find the location nearest to you.</p>",Bringing Hope to Georgia,,Georgia,,7-9eb8fbe3de-kr78lb,Learn More,7-c6f1fbb9a3-bs5cw7,Learn More,The Salvation Army of Georgia Services,0,,7-c8dfa1fe88-n3rcjd,,7-b4aeafb8dd-033tjr,https://twitter.com/tsageorgia,https://www.youtube.com/user/TSAGeorgia,30093-1725
7-d4ecfdb8aa-ggn7w9,/usa-southern-territory/florida/,5631 Van Dyke Rd.,7-bcf1e0dfec-p2g8x2,,3-12b7d7ed-b0l98r,,,FLA,https://www.facebook.com/SalArmyFlorida/,,8a8280c07a56d428017aa1e49d990059,https://www.instagram.com/salarmyflorida/,https://www.linkedin.com/company/salarmyflorida,"<p>Are you seeking spiritual encouragement, practical assistance, or a welcoming community? Our local centers and churches are here to help. We offer a wide range of support services for individuals and families, including emotional support, food assistance, counseling, and more.</p>
<p>Use our<span>&nbsp;</span><strong>location tool</strong><span> below </span>to find nearby resources that provide immediate help and long-term hope. Whether you're in need or looking to make a difference, there's a place for you in our caring community.</p>
<p><strong>Hope and help are closer than you think - Start your search today!</strong></p>",Bringing Hope to Florida,,Florida,,7-cc8da9a2bb-41qj0z,Sign up,7-d6b9e5a5b5-71nb61,Learn More,,0,,7-a8989ee7fe-vmd865,,7-b4aeafb8dd-033tjr,https://twitter.com/salarmyflorida,https://www.youtube.com/c/TheSalvationArmyFloridaDivision,33558
7-f4cfbc98a0-bhnrr5,/usa-southern-territory/arkansas-and-oklahoma/,"6601 N. Broadway Ext., Suite 300",7-ae85ccc2bb-sqwf5b,,3-13f73eb8-10jpwf,,,AOK,https://www.facebook.com/SalArmyAOK,,8a8282057a56d42c017aa1e227ef0065,https://www.instagram.com/salvationarmyus,https://www.linkedin.com/company/salarmyaok,"<p>Find the care and support you&rsquo;re looking for&mdash;whether it&rsquo;s spiritual encouragement, practical help, or a community ready to welcome you. We&rsquo;re here to help meet both immediate needs and provide hope for the future. Use our locator to connect with a center near you offering resources to uplift and assist. Hope is closer than you think&mdash;start your search today!</p>
<p>Looking for assistance or an opportunity to make a difference? Our local centers and churches offer a variety of services to support individuals and families in need.</p>
<p>Enter your city or ZIP code to find the location nearest to you.</p>",Bringing Hope to Arkansas and Oklahoma,,Arkansas and Oklahoma,,,,7-d4beb2d9a5-5fjhcr,Summer Camp Employment,,0,,7-e29db4a9a9-12b6sn,,7-b4aeafb8dd-033tjr,,https://www.youtube.com/@SalArmySouth,73116
7-fcbb8f98c9-r7nxlf,/usa-southern-territory/north-and-south-carolina/,501 Archdale Drive,7-8cc0c6f2ba-shp6w5,,3-13ba3515-bz60qx,7-e0ecb4ec9a-ztzzr5,,NSC,https://www.facebook.com/sacarolinas,,8a8280c07a56d428017aa1def7b60053,https://www.instagram.com/sacarolinas/,,"<p>Looking for assistance or an opportunity to make a difference? Our local centers and churches offer a variety of services to support individuals and families in need.</p>
<p>Enter your city or ZIP code to find the location nearest you.</p>
<!-- Klaviyo onsite script -->
<p>
<script src=""https://static.klaviyo.com/onsite/js/klaviyo.js?company_id=R46drN"" type=""text/javascript""></script>
<script>
document.addEventListener(""DOMContentLoaded"", function () {
  let formShown = false;

  window.addEventListener(""scroll"", function () {
    if (formShown) return; // only run once

    let scrollPosition = window.scrollY + window.innerHeight;
    let pageHeight = document.body.scrollHeight;

    if (scrollPosition / pageHeight > 0.5) {
      if (typeof window._klOnsite !== ""undefined"") {
        window._klOnsite.push(['openForm', 'Wuchwj']);
        formShown = true;
      } else {
        console.warn(""Klaviyo script not loaded yet."");
      }
    }
  });
});
</script>
</p>",Bringing Hope to North & South Carolina.,,North and South Carolina,,7-f2b4c6bc8a-fx3h4p,Learn More,7-d6e191af82-mk461j,Sign Up Today!,North & South Carolina Services,0,,7-9ceee8a9c2-6987mn,,7-b4aeafb8dd-033tjr,https://twitter.com/sacarolinas,https://www.youtube.com/@SalArmySouth,28217-4237
7-c8ef9d87df-xnvms7,/usa-central-territory/kansas-and-western-missouri/,3637 Broadway,7-fe8e82bfde-wswnlk,"Whether you are in need of assistance or wanting to give back to your community, we are here to help.",3-139a8abf-lb9xdw,7-da99d8dc87-p3kw5w,Contact Us Today!,KWM,https://www.facebook.com/SalArmyMoKan/,,402818763d5b8722013d5bb5983409b7,http://www.instagram.com/SalArmyMoKan,https://www.linkedin.com/company/salarmymokan/,"<p><span>The Salvation Army is one of the largest social service providers in the United States. We are committed to serving our neighbors in need of assistance in every zip code throughout the nation. Locate the service center nearest to you to find immediate assistance or volunteer opportunities through Salvation Army food pantries, shelters, financial assistance programs, summer camps, and more.</span></p>",The Salvation Army is serving in your community,,Kansas and Western Missouri,,7-86e7a0b9cd-93w3pr,Learn More,7-92c78885ab-wv37lp,Read the Story,,0,,7-fcecd6e4a3-rvnzh9,,7-ec8a80fdbe-46hzww,http://www.x.com/SalarmyMoKan,https://www.youtube.com/channel/UCMnXqPqmhSIR7ZzrcyxcH3g,64111-2503
7-8cb2cdb7d3-v7g7zn,/usa-southern-territory/texas/,1221 River Bend Drive,7-f8c5b38ece-dc4vq7,,3-14c36969-hcqbsq,,,TEX,https://www.facebook.com/SalArmyTX,,8a8282667ac38e2f017ac399b5c80000,https://www.instagram.com/salarmytx/,https://www.linkedin.com/company/the-salvation-army-texas-division/,"<!-- Elfsight Popup | Texas Modal -->
<p>
<script src=""https://elfsightcdn.com/platform.js""></script>
</p>
<div class=""elfsight-app-b1493a78-ba68-47df-ada5-62c29b7cf43a"" data-elfsight-app-lazy=""""></div>
<p>Find the care and support you’re looking for—whether it’s spiritual encouragement, practical help, or a community ready to welcome you. We’re here to help meet both immediate needs and provide hope for the future. Use our locator to connect with a center near you offering resources to uplift and assist. Hope is closer than you think—start your search today!</p>
<p>Looking for assistance or an opportunity to make a difference? Our local centers and churches offer a variety of services to support individuals and families in need.</p>
<p>Enter your city or ZIP code to find the location nearest to you.</p>",Bringing Hope to Texas,,Texas,3-14c36969-hcqbsq,7-bca69a9ac9-9kp5fd,,7-faaaf5b79e-4vhmwp,,,0,,7-f4c3d4c9fc-rzcklp,,7-b4aeafb8dd-033tjr,https://x.com/SalArmyTX,,75247
7-82dc90b6a6-n1hmmg,/usa-eastern-territory/greater-new-york/,120 West 14th Street,7-d29ac48eff-7q02vm,,3-13d216c4-6zzsg6,7-8696f7beb5-hvfgks,Contact Us,GNY,https://www.facebook.com/salvationarmyny,7-8c87da92a5-dhk18d,8a8282b07ac3a1d1017af101862202cf,https://www.instagram.com/salvationarmyny/?hl=en,https://www.linkedin.com/company/salvationarmyny/,"<p data-start=""111"" data-end=""411"">With 38 community centers located across all of Greater New York, you can find one that is closest to you through this interactive map. Just enter your zip code or type in your address to explore the services and programs each community center offers.</p>","Search for Salvation Army thrift stores, community centers, essential services, churches and more!",,Greater New York,,7-baf696a9a1-4pq5s1,Learn More,7-d2e7ced8f3-7xgqr5,Volunteer,Our Services,0,,7-b2eec98c95-gqhf9w,,7-ae82da90c9-zjnfr3,,https://www.youtube.com/@salvationarmyny,10011-7393
7-d8b9daf187-sc2dr7,/usa-central-territory/wisconsin-and-upper-michigan/,11315 W. Watertown Plank Rd.  ,7-caacd6b291-p542rl,,3-137830b1-6d2246,7-9ca7f2d6ed-2mkhxn,Connect with us,WUM,https://www.facebook.com/TheSalvationArmyWisconsinUpperMichigan/,7-d2c0e2f888-06n39x,126ae959gjffl3bg9agjjama8gk599ec,https://www.instagram.com/salvationarmywi/,https://www.linkedin.com/company/the-salvation-army-wisconsin-and-upper-michigan-division/,"<div class=""w-sm-100 pe-md-16 pe-sm-0 text-dark-50 fs-7 map-description f-ajenson"">
<p><span>The Salvation Army is one of the largest social service providers in the United States. We are committed to serving our neighbors in need of assistance in every zip code throughout the nation. Locate the service center nearest to you to find immediate assistance or volunteer opportunities through Salvation Army food pantries, shelters, financial assistance programs, summer camps, and more.</span></p>
</div>",The Salvation Army is serving in your community,,Wisconsin and Upper Michigan  ,,7-da90a0f780-97r8vm,Find Opportunities,7-aed6feb7a2-kqfwf1,More Intormation,Wisconsin and Upper Michigan Services,0,,7-a49ff783b0-5dv11m,,7-ec8a80fdbe-46hzww,https://x.com/salvationarmywi,https://www.youtube.com/salvationarmyusa,53226-0019
