zuid,url,body,contact_name,contact_number,county,division,email,form_embed,gdos_id,image,name,og_image,properties_types,service_image,service_type,state,territory
7-dcaae8e2f3-sdjvqs,/mn/morris/service-extension-central-mn-area-manager/,,,,,7-8ab1b9b3f3-tdc5n3,,,402818763d5b8722013d5ba83052071a,,Service Extension Central MN Area Manager,,7-f691a0a1b9-fh97j0,,"7-ecf48acfe1-c1qjwx,7-c0a3f2d8bf-lz3kps,7-ec8190fbe2-z5sf08",7-c2dfc2ca99-j6br8h,7-ec8a80fdbe-46hzww
7-e0d1dad6a9-nfcpcx,/in/oxford/benton-county-service-extension/,,,,Benton,7-e4a1c59bd4-02km0q,,,402818763d5b8722013d5b9a14fe049e,,Benton County Service Extension ,,7-88e8a8c4ce-mjl8hp,,,7-f0d4b4e1bc-b7wkz8,7-ec8a80fdbe-46hzww
7-d2c0b1d8fc-dc1dxx,/usa-central-territory/midland/rent-and-utilities-assistance/,"<h4>St. Louis City&nbsp;Rent &amp; Utilities Assistance</h4>
<p><span>The Salvation Army is currently assisting families in St. Louis City&nbsp;with the following services: Rental Assistance, and Utility Assistance.&nbsp;</span></p>
<p><span></span></p>
<p><span><strong>***NOTE:&nbsp;</strong>We are currently reviewing and processing the assistance request forms submitted by applicants. Visit the <strong><a data-cke-saved-href=""http://(https://centralusa.salvationarmy.org/midland/contact-us/"" href=""http://(https//centralusa.salvationarmy.org/midland/contact-us/"" target=""_blank"" rel=""noopener"">Contact Us</a></strong> page on our website for more information about other services and assistance provided by The Salvation Army.</span></p>
<p><span>If you reside in St. Louis County, St. Louis City, or Jefferson County, please click below to fill out the rent, utilities, childcare support, and transportation assistance request form:</span></p>
<h4>Assistance Qualifications</h4>
<p><span>To qualify for <strong>rent and utilities assistance</strong>, residences and homes must be in the areas highlighted in the map&nbsp;below, that are within St. Louis City&nbsp;boundaries.&nbsp;</span></p>
<p><span>Applicants, must meet the following initial&nbsp;eligibility criteria:</span></p>
<ul>
<li><span>Must be a St. Louis city resident</span></li>
<li><span>Must be responsible for paying the bills for the&nbsp;home (rent, and utilities)</span></li>
<li><span>Income must meet or be below St. Louis, MO-IL HUD Metro Limits (<a data-cke-saved-href=""chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.huduser.gov/portal/datasets/home-datasets/files/HOME_IncomeLmts_State_MO_2023.pdf"" href=""chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.huduser.gov/portal/datasets/home-datasets/files/HOME_IncomeLmts_State_MO_2023.pdf"" target=""_blank"" rel=""noopener"">Income Requirements</a>)</span></li>
<li><span>Rent must fall within the FY 2024 St. Louis, MO-IL HUD Metro Fair Market Rent Scale (<a data-cke-saved-href=""https://s3.amazonaws.com/usc-cache.salvationarmy.org/d7052578-71bc-4b9e-93b5-3a179d6ebd77_HUD+FMR+2024+STL.pdf"" href=""https://s3.amazonaws.com/usc-cache.salvationarmy.org/d7052578-71bc-4b9e-93b5-3a179d6ebd77_HUD+FMR+2024+STL.pdf"">Rent Requirements</a>)</span></li>
</ul>
<h4>Qualified Zip Codes</h4>
<p><span>The apartment or home must be in</span><span>&nbsp;the&nbsp;St. Louis City.&nbsp;&nbsp;Some zip codes&nbsp;are St. Louis County zip codes, but sections of them fall within St. Louis City boundaries, making them eligible for this&nbsp;<b>rent&nbsp;and utilities assistance</b>:</span></p>
<table border=""1"" style=""border-collapse: collapse; width: 100%; border: 1px none rgb(255, 255, 255);""><colgroup><col style=""width: 33.2907%;""><col style=""width: 33.2907%;""><col style=""width: 33.2907%;""></colgroup>
<tbody>
<tr>
<td style=""border-color: rgb(255, 255, 255);"">
<ul>
<li><span>63101</span></li>
<li><span>63111</span></li>
<li><span>63102</span></li>
<li><span>63112</span></li>
<li><span>63103</span></li>
<li><span>63113</span></li>
<li><span>63104</span></li>
<li><span>63115</span></li>
<li><span>63106</span></li>
<li><span>63116</span></li>
<li><span>63107</span></li>
<li><span>63118</span></li>
<li><span>63108</span></li>
<li><span>63139</span></li>
<li><span>63109</span></li>
<li><span>63147</span></li>
</ul>
</td>
<td style=""border-color: rgb(255, 255, 255);"">
<ul>
<li><span>63110</span></li>
<li><span>63105</span></li>
<li><span>63130</span></li>
<li><span>63117</span></li>
<li><span>63133</span></li>
<li><span>63119</span></li>
<li><span>63136</span></li>
<li><span>63120</span></li>
<li><span>63137</span></li>
<li><span>63123</span></li>
<li><span>63138</span></li>
<li><span>63125</span></li>
<li><span>63143</span></li>
</ul>
</td>
<td style=""border-color: rgb(255, 255, 255);""><img src=""https://s3.amazonaws.com/usc-cache.salvationarmy.org/7a352023-15bd-465c-8581-6d11d5160f8f_TSA+STL_Spring+2024_Rent+%26+Utilities+Assistance+Zip+Codes.png""></td>
</tr>
</tbody>
</table>
<p></p>
<p><span><strong>Need immediate assistance during evenings or weekends? Please contact United Way's First Call for Help by dialing 211 or visiting <a data-cke-saved-href=""https://www.211.org/"" href=""https://www.211.org/"" target=""_blank"" rel=""noopener"">www.211.org.</a></strong></span></p>",,,,7-b6bb9e9de9-6095fb,,,,3-142d0fa6-1pnbt8,Rent And Utilities Assistance ,,,3-142d0fa6-1pnbt8,7-c0a3f2d8bf-lz3kps,,
7-a6baefaacc-lbndkw,/tx/stamford/jones-and-haskell-counties-tx-service-unit/,"<p>&nbsp; &nbsp;&nbsp;<br>1205 Elizabeth St,<br>Stamford,<br>Texas,<br>79553</p>",,+1 (325)370-3549,"haskell, jones",7-8cb2cdb7d3-v7g7zn,texregion4svcext@uss.salvationarmy.org,,8a8282238d745250018d7b96c01b003c,3-12db7bd6-g9k911,Jones and Haskell Counties TX (Stamford) Service Unit,,7-949bf3969a-8sq3w8,3-12db7bd6-g9k911,,7-f4c3d4c9fc-rzcklp,7-b4aeafb8dd-033tjr
7-d69bfdad99-0gvmxx,/test-service-extension-for-usc/,<p>Here is some helpful text discussing more about what this service extension does and who it serves.&nbsp;</p>,Joe Blow,123-456-7890,,,joeblow@thisemail.com,<p>A form goes here</p>,,https://dam.redshieldtoolkit.org/m/45829ec145d85ef6/original/Cascade-EDS-Photos.JPG,Test service extension for USC,,,https://dam.redshieldtoolkit.org/m/7bafff06cfa7f229/original/Volunteer-Serving-Food.jpg,"7-c0a3f2d8bf-lz3kps,7-f08698fe87-3brfzr,7-d492d7a594-470v8g",,7-ec8a80fdbe-46hzww
7-a890aab6f0-20nqjf,/ia/rockwell-city/rockwell-city-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb51e9f09a2,,"Rockwell City, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-eccfeca7c2-1vgfxl,/fl/panama-city/panama-city-domestic-violence/,,,,,7-d4ecfdb8aa-ggn7w9,,,8a83ffcd8fca4ef20190592ff7ef0064,,Panama City Domestic Violence,,7-bca9f585ea-4vkfpf,,,7-a8989ee7fe-vmd865,7-b4aeafb8dd-033tjr
7-9cca96d5b8-dxl30m,/fl/cocoa/north-central-brevard-county-fl-domestic-violence-center/,,,,,7-d4ecfdb8aa-ggn7w9,,,8a8282238d745250018d7bcc88590078,,North Central Brevard County FL Domestic Violence Center,,7-bca9f585ea-4vkfpf,,,7-a8989ee7fe-vmd865,7-b4aeafb8dd-033tjr
7-dae8dbefae-z0chsk,/va/roanoke/roanoke-shelterbattered-women/,,,,,7-f0f9b5c4ec-xb359v,,,8a82818e8d73bcf9018d7b9737810050,,Roanoke Shelter/Battered Women,,7-bca9f585ea-4vkfpf,,,7-80b1caa291-4wnwbh,7-b4aeafb8dd-033tjr
7-b0cf8198a5-cc5fjc,/ga/warner-robins/warner-robins-spouse-abuse-safe-house/,,,,,7-d4ebbcf3b4-lwqwp2,,,8a82818e8d73bcf9018d7b96e4f1003f,,Warner Robins Spouse Abuse Safe House,,7-bca9f585ea-4vkfpf,,,7-c8dfa1fe88-n3rcjd,7-b4aeafb8dd-033tjr
